"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Oct 24, 2020","3:30 PM","Sat","Iowa","@","Purdue","Big Ten","L",20,24,0,1,"L 1",NA
"2",2,"Oct 31, 2020","3:30 PM","Sat","Iowa","","Northwestern","Big Ten","L",20,21,0,2,"L 2",NA
"3",3,"Nov 7, 2020","12:00 PM","Sat","Iowa","","Michigan State","Big Ten","W",49,7,1,2,"W 1",NA
"4",4,"Nov 13, 2020","12:00 PM","Fri","Iowa","@","Minnesota","Big Ten","W",35,7,2,2,"W 2",NA
"5",5,"Nov 21, 2020","3:30 PM","Sat","Iowa","@","Penn State","Big Ten","W",41,21,3,2,"W 3",NA
"6",6,"Nov 27, 2020","1:00 PM","Fri","Iowa","","Nebraska","Big Ten","W",26,20,4,2,"W 4",NA
"7",7,"Dec 5, 2020","3:30 PM","Sat","(24) Iowa","@","Illinois","Big Ten","W",35,21,5,2,"W 5",NA
"8",8,"Dec 12, 2020","3:30 PM","Sat","(19) Iowa","","(25) Wisconsin","Big Ten","W",28,7,6,2,"W 6",NA
