"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Oct 24, 2020","3:30 PM","Sat","Indiana","","(8) Penn State","Big Ten","W",36,35,1,0,"W 1",NA
"2",2,"Oct 31, 2020","3:30 PM","Sat","(17) Indiana","@","Rutgers","Big Ten","W",37,21,2,0,"W 2",NA
"3",3,"Nov 7, 2020","12:00 PM","Sat","(13) Indiana","","(23) Michigan","Big Ten","W",38,21,3,0,"W 3",NA
"4",4,"Nov 14, 2020","12:00 PM","Sat","(10) Indiana","@","Michigan State","Big Ten","W",24,0,4,0,"W 4",NA
"5",5,"Nov 21, 2020","12:00 PM","Sat","(9) Indiana","@","(3) Ohio State","Big Ten","L",35,42,4,1,"L 1",NA
"6",6,"Nov 28, 2020","12:00 PM","Sat","(12) Indiana","","Maryland","Big Ten","W",27,11,5,1,"W 1",NA
"7",7,"Dec 5, 2020","3:30 PM","Sat","(10) Indiana","@","(18) Wisconsin","Big Ten","W",14,6,6,1,"W 2",NA
