"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 19, 2020","12:00 PM","Sat","(13) Cincinnati","","Austin Peay","Non-Major","W",55,20,1,0,"W 1",NA
"2",2,"Sep 26, 2020","3:30 PM","Sat","(14) Cincinnati","","(22) Army","Ind","W",24,10,2,0,"W 2",NA
"3",3,"Oct 3, 2020","3:30 PM","Sat","(15) Cincinnati","","South Florida","American","W",28,7,3,0,"W 3",NA
"4",4,"Oct 24, 2020","9:00 PM","Sat","(9) Cincinnati","@","(16) SMU","American","W",42,13,4,0,"W 4",NA
"5",5,"Oct 31, 2020","12:00 PM","Sat","(7) Cincinnati","","Memphis","American","W",49,10,5,0,"W 5",NA
"6",6,"Nov 7, 2020","3:30 PM","Sat","(6) Cincinnati","","Houston","American","W",38,10,6,0,"W 6",NA
"7",7,"Nov 13, 2020","12:00 PM","Fri","(7) Cincinnati","","East Carolina","American","W",55,17,7,0,"W 7",NA
"8",8,"Nov 21, 2020","3:30 PM","Sat","(7) Cincinnati","@","UCF","American","W",36,33,8,0,"W 8",NA
"9",9,"Dec 19, 2020","7:00 PM","Sat","(7) Cincinnati","","(18) Tulsa","American","",NA,NA,NA,NA,"",NA
