"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Nov 7, 2020","7:00 PM","Sat","Colorado","","UCLA","Pac-12","W",48,42,1,0,"W 1",NA
"2",2,"Nov 14, 2020","3:30 PM","Sat","Colorado","@","Stanford","Pac-12","W",35,32,2,0,"W 2",NA
"3",3,"Nov 28, 2020","5:00 PM","Sat","Colorado","","San Diego State","MWC","W",20,10,3,0,"W 3",NA
"4",4,"Dec 5, 2020","7:00 PM","Sat","Colorado","@","Arizona","Pac-12","W",24,13,4,0,"W 4",NA
"5",5,"Dec 12, 2020","12:00 PM","Sat","(21) Colorado","","Utah","Pac-12","L",21,38,4,1,"L 1",NA
