"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 26, 2020","7:30 PM","Sat","(10) Texas A&M","","Vanderbilt","SEC","W",17,12,1,0,"W 1",NA
"2",2,"Oct 3, 2020","3:30 PM","Sat","(13) Texas A&M","@","(2) Alabama","SEC","L",24,52,1,1,"L 1",NA
"3",3,"Oct 10, 2020","12:00 PM","Sat","(21) Texas A&M","","(4) Florida","SEC","W",41,38,2,1,"W 1",NA
"4",4,"Oct 17, 2020","4:00 PM","Sat","(11) Texas A&M","@","Mississippi State","SEC","W",28,14,3,1,"W 2",NA
"5",5,"Oct 31, 2020","7:30 PM","Sat","(8) Texas A&M","","Arkansas","SEC","W",42,31,4,1,"W 3",NA
"6",6,"Nov 7, 2020","7:00 PM","Sat","(7) Texas A&M","@","South Carolina","SEC","W",48,3,5,1,"W 4",NA
"7",7,"Nov 28, 2020","7:00 PM","Sat","(5) Texas A&M","","LSU","SEC","W",20,7,6,1,"W 5",NA
"8",8,"Dec 5, 2020","12:00 PM","Sat","(5) Texas A&M","@","Auburn","SEC","W",31,20,7,1,"W 6",NA
"9",9,"Dec 19, 2020","12:00 PM","Sat","(5) Texas A&M","@","Tennessee","SEC","",NA,NA,NA,NA,"",NA
