"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Oct 24, 2020","7:30 PM","Sat","Northwestern","","Maryland","Big Ten","W",43,3,1,0,"W 1",""
"2",2,"Oct 31, 2020","3:30 PM","Sat","Northwestern","@","Iowa","Big Ten","W",21,20,2,0,"W 2",""
"3",3,"Nov 7, 2020","12:00 PM","Sat","Northwestern","","Nebraska","Big Ten","W",21,13,3,0,"W 3",""
"4",4,"Nov 14, 2020","7:30 PM","Sat","(23) Northwestern","@","Purdue","Big Ten","W",27,20,4,0,"W 4",""
"5",5,"Nov 21, 2020","3:30 PM","Sat","(19) Northwestern","","(10) Wisconsin","Big Ten","W",17,7,5,0,"W 5",""
"6",6,"Nov 28, 2020","3:30 PM","Sat","(11) Northwestern","@","Michigan State","Big Ten","L",20,29,5,1,"L 1",""
"7",7,"Dec 12, 2020","12:00 PM","Sat","(15) Northwestern","","Illinois","Big Ten","W",28,10,6,1,"W 1",""
"8",8,"Dec 19, 2020","12:00 PM","Sat","(15) Northwestern","N","(3) Ohio State","Big Ten","",NA,NA,NA,NA,"","Lucas Oil Stadium - Indianapolis, Indiana"
