"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 19, 2020","12:00 PM","Sat","Tulsa","@","(11) Oklahoma State","Big 12","L",7,16,0,1,"L 1",NA
"2",2,"Oct 3, 2020","7:30 PM","Sat","Tulsa","@","(11) UCF","American","W",34,26,1,1,"W 1",NA
"3",3,"Oct 23, 2020","7:30 PM","Fri","Tulsa","@","South Florida","American","W",42,13,2,1,"W 2",NA
"4",4,"Oct 30, 2020","9:00 PM","Fri","Tulsa","","East Carolina","American","W",34,30,3,1,"W 3",NA
"5",5,"Nov 14, 2020","7:00 PM","Sat","Tulsa","","(19) SMU","American","W",28,24,4,1,"W 4",NA
"6",6,"Nov 19, 2020","12:00 PM","Thu","(25) Tulsa","","Tulane","American","W",30,24,5,1,"W 5",NA
"7",7,"Dec 5, 2020","3:30 PM","Sat","(22) Tulsa","@","Navy","American","W",19,6,6,1,"W 6",NA
"8",8,"Dec 19, 2020","7:00 PM","Sat","(18) Tulsa","@","(7) Cincinnati","American","",NA,NA,NA,NA,"",NA
