"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Nov 7, 2020","12:00 PM","Sat","(20) USC","","Arizona State","Pac-12","W",28,27,1,0,"W 1",NA
"2",2,"Nov 14, 2020","3:30 PM","Sat","(20) USC","@","Arizona","Pac-12","W",34,30,2,0,"W 2",NA
"3",3,"Nov 21, 2020","10:30 PM","Sat","(20) USC","@","Utah","Pac-12","W",33,17,3,0,"W 3",NA
"4",4,"Dec 6, 2020","7:30 PM","Sun","(17) USC","","Washington State","Pac-12","W",38,13,4,0,"W 4",NA
"5",5,"Dec 12, 2020","7:30 PM","Sat","(16) USC","@","UCLA","Pac-12","W",43,38,5,0,"W 5",NA
