"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Oct 24, 2020","12:00 PM","Sat","(5) Ohio State","","Nebraska","Big Ten","W",52,17,1,0,"W 1",""
"2",2,"Oct 31, 2020","7:30 PM","Sat","(3) Ohio State","@","(18) Penn State","Big Ten","W",38,25,2,0,"W 2",""
"3",3,"Nov 7, 2020","7:30 PM","Sat","(3) Ohio State","","Rutgers","Big Ten","W",49,27,3,0,"W 3",""
"4",4,"Nov 21, 2020","12:00 PM","Sat","(3) Ohio State","","(9) Indiana","Big Ten","W",42,35,4,0,"W 4",""
"5",5,"Dec 5, 2020","12:00 PM","Sat","(3) Ohio State","@","Michigan State","Big Ten","W",52,12,5,0,"W 5",""
"6",6,"Dec 19, 2020","12:00 PM","Sat","(3) Ohio State","N","(15) Northwestern","Big Ten","",NA,NA,NA,NA,"","Lucas Oil Stadium - Indianapolis, Indiana"
