"","G","Date","Time","Day","School","","Opponent","Conf","","Pts","Opp","W","L","Streak","Notes"
"1",1,"Sep 12, 2020","8:00 PM","Sat","(14) Texas","","UTEP","CUSA","W",59,3,1,0,"W 1",NA
"2",2,"Sep 26, 2020","3:30 PM","Sat","(8) Texas","@","Texas Tech","Big 12","W",63,56,2,0,"W 2",NA
"3",3,"Oct 3, 2020","12:00 PM","Sat","(9) Texas","","Texas Christian","Big 12","L",31,33,2,1,"L 1",NA
"4",4,"Oct 10, 2020","12:00 PM","Sat","(22) Texas","N","Oklahoma","Big 12","L",45,53,2,2,"L 2",NA
"5",5,"Oct 24, 2020","3:30 PM","Sat","Texas","","Baylor","Big 12","W",27,16,3,2,"W 1",NA
"6",6,"Oct 31, 2020","4:00 PM","Sat","Texas","@","(6) Oklahoma State","Big 12","W",41,34,4,2,"W 2",NA
"7",7,"Nov 7, 2020","12:00 PM","Sat","(22) Texas","","West Virginia","Big 12","W",17,13,5,2,"W 3",NA
"8",8,"Nov 27, 2020","12:00 PM","Fri","(20) Texas","","(15) Iowa State","Big 12","L",20,23,5,3,"L 1",NA
"9",9,"Dec 5, 2020","12:00 PM","Sat","Texas","@","Kansas State","Big 12","W",69,31,6,3,"W 1",NA
